iter	RMSE
332	193936.5841
333	193854.4357
334	193834.3427
335	193519.2373
336	193343.1438
337	193266.4324
338	193199.283
339	193105.8633
340	192923.0944
341	192779.5768
342	192461.953
343	192252.1558
344	192249.437
345	192199.6748
346	192160.3086
347	191957.7766
348	191845.081
349	191760.7577
350	191726.5549
351	191485.5905
352	191353.5224
353	191181.1087
354	191063.9913
355	191016.0249
356	190689.5426
357	190601.0025
358	190596.7394
359	190456.155
360	190235.0066
361	189890.6515
362	189845.9537
363	189679.061
364	189264.2831
365	189249.7887
366	189232.4206
367	189190.9001
368	189053.751
369	188982.8927
370	188707.9366
371	188375.3098
372	188310.762
373	188241.7356
374	187904.6164
375	187891.8391
376	187782.2422
377	187758.0426
378	187734.6011
379	187600.8206
380	187559.8119
381	187413.141
382	187373.1584
383	187318.8809
384	187296.8215
385	187169.0238
386	186986.0308
387	186964.8082
388	186943.5039
389	186711.0003
390	186501.7208
391	186067.7164
392	185894.1045
393	185874.2595
394	185701.3612
395	185449.2932
396	185434.0906
397	185231.2999
398	185227.2959
399	185005.787
400	184786.3901
401	184565.2594
402	184406.8689
403	184321.8642
404	184232.3306
405	184062.4916
406	183829.2426
407	183784.9825
408	183615.0669
409	183578.3361
410	183566.904
411	183450.3859
412	183329.4372
413	183190.3418
414	183169.2089
415	183038.0611
416	182976.3702
417	182876.8255
418	182755.6532
419	182619.4541
420	182399.9667
421	182355.8749
422	182324.6205
423	182201.3652
424	181940.9346
425	181868.2721
426	181611.9699
427	181500.0741
428	181344.5897
429	181157.9158
430	181125.5177
431	181011.8054
432	180811.3443
433	180672.3697
434	180644.7337
435	180575.6552
436	180496.3464
437	180353.6809
438	180214.5732
439	180059.3703
440	179982.966
441	179872.4609
442	179857.971
443	179809.8137
444	179557.0398
445	179250.2509
446	179127.4657
447	179010.886
448	178955.6093
449	178805.5692
450	178709.7921
451	178610.7528
452	178541.4587
453	178513.9169
454	178328.9009
455	178180.2812
456	178151.3496
457	177936.4269
458	177808.744
459	177793.5297
460	177599.6359
461	177579.1819
462	177534.8075
463	177531.9832
464	177365.8351
465	177240.5353
466	177056.5504
467	176911.2476
468	176778.9661
469	176671.4525
470	176558.3779
471	176441.496
472	176329.4476
473	176128.3972
474	175859.836
475	175778.3794
476	175625.9431
477	175442.2862
478	175380.0753
